שם יישוב,סמל יישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2020,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
אמציה,23,AMAZYA,6,61,612,50,,1,224,220,220,4,1955,320,9,1918460450,360,634,10001813,2020,Amazya,
אניעם,4012,ANI'AM,2,29,293,71,,1,515,515,501,,1978,310,1,2695476260,425,219,10004579,2020,Ani'am,211
אסד (שבט),960,ASAD,6,62,623,,,3,,,,,,460,,1880058150,,699,10001937,2020,Asad,
אספר,3754,ASFAR,7,77,,76,,1,986,986,986,,1983,370,8,2178461041,926,714,15000586,2020,Asfar,
אעבלין,529,I'BILLIN,2,24,241,99,241,2,13547,17,4,13530,,270,,2176574799,87,261,10004497,2020,I'billin,310
אעצם (שבט),963,A'SAM,6,62,623,,,3,,,,,,460,,1910056100,,699,15003711,2020,A'sam,
אפיניש (שבט),959,AFEINISH,6,62,623,,,3,,,,,,460,,1990058000,,699,10001937,2020,Afaynish,
אפיק,4301,AFIQ,2,29,294,71,,1,345,345,304,,1967,330,15,2660674275,339,219,10004579,2020,Afiq,211
אפיקים,176,AFIQIM,2,22,221,6,,1,1501,1500,1423,1,1932,330,15,2544973191,-199,214,10004552,2020,Afiqim,214
אפק,313,AFEQ,2,24,246,4,241,1,728,719,712,8,1939,330,15,2122974931,24,201,10004207,2020,Afeq,212
אפרת,3650,EFRAT,7,76,,99,445,1,11405,11405,11374,,1980,170,,2150761920,840,704,15000586,2020,Efrat,
ארבל,701,ARBEL,2,22,222,3,,1,748,748,736,,1949,310,1,2456474646,46,206,10004552,2020,Arbel,214
ארגמן,3598,ARGAMAN,7,75,,75,,1,133,133,133,,1968,310,9,2495167550,-181,712,10003299,2020,Argaman,710
ארז,714,EREZ,6,61,614,37,,1,585,585,570,,1949,330,15,1588860773,41,651,10001829,2020,Erez,620
אריאל,3570,ARI'EL,7,73,,0,145,1,19582,19009,15301,573,1978,170,,2178666790,520,701,15004488,2020,Ari'el,
ארסוף,1324,ARSUF,4,41,411,19,141,1,184,184,165,,1995,350,,1828768007,39,401,15000060,2020,Arsuf,
אשבול,71,ESHBOL,6,62,621,42,,1,646,646,637,,1955,310,1,1682759518,168,651,10001930,2020,Eshbol,620
אשבל,1276,ESHBAL,2,24,241,56,241,1,139,139,137,1,1979,330,10,2288975354,269,205,10004513,2020,Eshbal,210
אשדוד,70,ASHDOD,6,61,613,0,143,1,226154,225836,202329,317,1955,130,,1669063377,22,603,10001836,2020,Ashdod,
